time,system_configuration,num_beams,num_bins,pings_per_ensemble,depth_bin_length,blanking_distance,low_correlation_threshold,percent_good_minimum,error_velocity_threshold,coordinate_transformation,heading_alignment,heading_bias,sensor_source,bin0_distance,transmit_pulse_length,ensemble_number,rtc_year,rtc_month,rtc_day,rtc_hour,rtc_minute,rtc_second,rtc_hundredths,bit_result,speed_of_sound,depth,heading,pitch,roll,salinity,temperature,min_ping_wait_minutes,min_ping_wait_seconds,min_ping_wait_hundredths,heading_standard_deviation,pitch_standard_deviation,roll_standard_deviation,adc_rounded_voltage,pressure,pressure_variance,rel_vel_pressure_u,rel_vel_pressure_v,rel_vel_pressure_w,rel_vel_dvl_u,rel_vel_dvl_v,rel_vel_dvl_w,ocn_vel_u,ocn_vel_v,ocn_vel_w,abs_vel_btm_u,abs_vel_btm_v,abs_vel_btm_w,delta_x,delta_y,delta_z,delta_t,delta_z_pressure,delta_pitch,rel_pos_x,rel_pos_y,rel_pos_z,rel_pos_x_dvl_dr,rel_pos_y_dvl_dr,rel_pos_z_dvl_dr,origin_x,origin_y,angle_of_attack,num_good_vel_bins,bathy_factor_depth,bathy_factor_slope,bathy_factor_orient,vel_bin0_beam0,vel_bin0_beam1,vel_bin0_beam2,vel_bin0_beam3,vel_bin1_beam0,vel_bin1_beam1,vel_bin1_beam2,vel_bin1_beam3,vel_bin2_beam0,vel_bin2_beam1,vel_bin2_beam2,vel_bin2_beam3,vel_bin3_beam0,vel_bin3_beam1,vel_bin3_beam2,vel_bin3_beam3,vel_bin4_beam0,vel_bin4_beam1,vel_bin4_beam2,vel_bin4_beam3,vel_bin5_beam0,vel_bin5_beam1,vel_bin5_beam2,vel_bin5_beam3,vel_bin6_beam0,vel_bin6_beam1,vel_bin6_beam2,vel_bin6_beam3,vel_bin7_beam0,vel_bin7_beam1,vel_bin7_beam2,vel_bin7_beam3,vel_bin8_beam0,vel_bin8_beam1,vel_bin8_beam2,vel_bin8_beam3,vel_bin9_beam0,vel_bin9_beam1,vel_bin9_beam2,vel_bin9_beam3,vel_bin10_beam0,vel_bin10_beam1,vel_bin10_beam2,vel_bin10_beam3,vel_bin11_beam0,vel_bin11_beam1,vel_bin11_beam2,vel_bin11_beam3,vel_bin12_beam0,vel_bin12_beam1,vel_bin12_beam2,vel_bin12_beam3,vel_bin13_beam0,vel_bin13_beam1,vel_bin13_beam2,vel_bin13_beam3,vel_bin14_beam0,vel_bin14_beam1,vel_bin14_beam2,vel_bin14_beam3,vel_bin15_beam0,vel_bin15_beam1,vel_bin15_beam2,vel_bin15_beam3,vel_bin16_beam0,vel_bin16_beam1,vel_bin16_beam2,vel_bin16_beam3,vel_bin17_beam0,vel_bin17_beam1,vel_bin17_beam2,vel_bin17_beam3,vel_bin18_beam0,vel_bin18_beam1,vel_bin18_beam2,vel_bin18_beam3,vel_bin19_beam0,vel_bin19_beam1,vel_bin19_beam2,vel_bin19_beam3,btm_pings_per_ensemble,btm_bottom_track_mode,btm_max_error_velocity,btm_beam0_range,btm_beam1_range,btm_beam2_range,btm_beam3_range,btm_beam0_velocity,btm_beam1_velocity,btm_beam2_velocity,btm_beam3_velocity,btm_beam0_rssi,btm_beam1_rssi,btm_beam2_rssi,btm_beam3_rssi
1628271219.000033,16971.0,4.0,20.0,10.0,2.0,0.0,64.0,0.0,2.0,11.0,0.0,0.0,2.0,2.94,2.05,1.0,21.0,8.0,6.0,13.0,33.0,39.0,33.0,337.0,1500.0,0.2,248.39000000000001,-1.49,2.39,35.0,22.25,0.0,0.0,8.0,0.0,1.5,2.4000000000000004,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,-0.07900000000000001,0.064,0.0,0.004,-0.035,0.069,-0.02,-0.01,-0.031,0.065,-0.018000000000000002,-0.006,-0.026000000000000002,0.15699999999999997,-0.029,0.003,0.03900000000000001,0.043000000000000003,-0.035,0.008,-0.06,0.11700000000000002,-0.024,0.022,0.0049999999999999906,0.159,0.007,0.043000000000000003,0.004,0.08299999999999999,0.01,-0.032,-0.07900000000000001,0.083,0.029,-0.042,,,,,-0.249,0.07499999999999998,-0.07200000000000001,-0.006,-0.039,0.035,-0.027,0.044,-0.034,-0.002,-0.035,0.006,-0.092,-0.015000000000000003,-0.065,0.021,-0.022,-0.028999999999999998,-0.074,-0.065,0.123,0.222,-0.017,,,,,,-0.08799999999999997,-0.181,0.009000000000000001,0.182,0.079,0.033,-0.019,0.079,-0.017,0.007000000000000002,-0.101,-0.28,10.0,8.0,1.0,11.950000000000001,14.67,12.73,13.58,-0.023000000000000003,0.13600000000000004,-0.003,0.0,101.25999999999999,105.53,98.21,93.33
1628271224.000008,16971.0,4.0,20.0,10.0,2.0,0.0,64.0,0.0,2.0,11.0,0.0,0.0,2.0,2.94,2.05,2.0,21.0,8.0,6.0,13.0,33.0,44.0,8.0,0.0,1500.0,0.2,248.39000000000001,-1.49,2.39,35.0,22.5,0.0,0.0,8.0,0.0,1.5,2.4000000000000004,14.0,0.0,0.0,,,,-0.018999999999999996,-0.10400000000000001,-0.039,0.0,0.0,0.0,0.017,-0.09700000000000002,-0.016,0.08499957847595216,-0.4849975948333741,-0.07999960327148438,4.999975204467773,0.0,0.0,0.0,0.0,0.0,0.08499957847595216,-0.4849975948333741,0.0,0.0,0.0,0.0,9.0,13.258354088639017,8.871297769564382,-155.69434334195594,-0.051000000000000004,0.053000000000000005,-0.038,-0.027,-0.073,0.036000000000000004,-0.028,-0.041,0.018999999999999996,0.10400000000000001,-0.039,0.004,-0.012,0.11099999999999999,-0.039,-0.008,-0.02,0.097,-0.063,0.014,-0.029000000000000005,0.08400000000000002,-0.041,-0.013000000000000001,0.0040000000000000036,0.089,-0.032,0.003,-0.061,0.09799999999999999,0.002,0.036000000000000004,-0.051000000000000004,0.036000000000000004,-0.003,-0.034,-0.22299999999999998,-0.28500000000000003,-0.04,,-0.026000000000000013,0.126,-0.03,-0.073,-0.05900000000000001,0.09300000000000001,0.011,0.011,0.001999999999999999,0.023,0.017,0.021,-0.0010000000000000009,-0.051000000000000004,-0.023,0.037,0.039,-0.056,-0.049,0.026000000000000002,,,,,,,,,0.047,0.066,-0.07200000000000001,-0.128,-0.023999999999999997,0.122,-0.02,0.07200000000000001,-0.1,0.08700000000000002,-0.059000000000000004,0.088,10.0,8.0,1.0,12.22,13.93,12.72,13.22,-0.017,0.09700000000000002,-0.016,0.003,103.09,97.6,98.21,100.64999999999999
1628271228.000081,16971.0,4.0,20.0,10.0,2.0,0.0,64.0,0.0,2.0,11.0,0.0,0.0,2.0,2.94,2.05,3.0,21.0,8.0,6.0,13.0,33.0,48.0,81.0,0.0,1500.0,0.1,248.39000000000001,-1.49,2.39,35.0,22.5,0.0,0.0,8.0,0.0,1.5,2.4000000000000004,13.0,0.0,0.0,0.8935504433460614,0.3539620614228342,-0.024999544032783864,-0.027000000000000003,0.016,-0.027,0.0,0.0,0.0,0.008,-0.034999999999999996,-0.049,0.03200058364868164,-0.14000255346298215,-0.19600357484817504,4.000072956085205,-0.1,0.0,0.0,0.0,0.0,0.1170001621246338,-0.6250001482963563,-0.1,0.0,-0.4849975948333741,0.0,9.0,13.073393382847762,4.929531131324449,175.3474177263897,-0.052000000000000005,-0.036000000000000004,-0.04,-0.054,-0.07,-0.066,-0.024,0.008,0.027000000000000003,-0.016,-0.027,-0.012,0.015,0.018000000000000002,-0.035,0.006,0.01,0.014000000000000002,-0.076,0.03,-0.013000000000000001,0.018000000000000006,-0.048,-0.002,0.036000000000000004,-0.026000000000000006,-0.032,-0.024,-0.03500000000000001,-0.035,-0.022,-0.036000000000000004,-0.057999999999999996,-0.048,-0.018000000000000002,-0.054,,,,,0.18000000000000002,0.132,-0.067,-0.14400000000000002,0.01,-0.021,-0.032,-0.012,-0.064,-0.03300000000000001,-0.053,-0.018000000000000002,0.002999999999999999,0.065,-0.083,0.051000000000000004,-0.069,0.14,-0.099,-0.024,,,,,,,,,0.047,0.07,-0.133,0.016,-1.734723475976807e-18,0.023,-0.057,-0.022,-0.32499999999999996,0.05600000000000002,-0.613,,10.0,8.0,1.0,12.68,13.21,13.02,12.84,-0.008,0.034999999999999996,-0.049,0.0,100.64999999999999,102.48,106.14,100.03999999999999
1628271233.000062,16971.0,4.0,20.0,10.0,2.0,0.0,64.0,0.0,2.0,11.0,0.0,0.0,2.0,2.94,2.05,4.0,21.0,8.0,6.0,13.0,33.0,53.0,62.0,0.0,1500.0,0.0,248.39000000000001,-1.49,2.39,35.0,22.5,0.0,0.0,8.0,0.0,1.5,2.4000000000000004,14.0,0.0,0.0,0.71485611962499,0.2831758941058388,-0.020000076294236353,-0.006,-0.034,0.015,0.0,0.0,0.0,-0.009,-0.047,0.003,-0.044999828338623045,-0.2349991035461426,0.014999942779541016,4.999980926513672,-0.1,0.0,0.0,0.0,0.0,0.07200033378601076,-0.8599992518424989,-0.2,0.0,-0.6250001482963563,0.0,9.0,12.978482274598072,6.805874450210593,178.42471322871862,0.006999999999999999,0.008,0.014,-0.001,-0.028,-0.023,0.007,0.013000000000000001,0.006,0.034,0.015,-0.027,0.05200000000000002,0.062,0.009000000000000001,-0.033,0.025,0.029999999999999992,-0.01,-0.011,0.004,0.05299999999999999,0.007,-0.001,0.028,0.002999999999999999,0.013000000000000001,-0.035,-0.018000000000000002,0.025,0.009000000000000001,-0.004,-0.048999999999999995,-0.036000000000000004,0.022,0.022,,,,,0.026000000000000002,0.018000000000000002,0.005,-0.002,0.06,-0.012000000000000004,-0.013000000000000001,-0.015,0.05500000000000001,-0.035,0.025,-0.051000000000000004,-0.04300000000000001,-0.055,-0.028,0.074,0.05299999999999999,0.048,-0.024,-0.021,,,,,,,,,0.07700000000000001,-0.06,0.046,0.018000000000000002,-0.03500000000000001,-0.019000000000000003,0.004,0.01,,,,,10.0,8.0,1.0,12.43,13.44,13.08,12.77,0.009,0.047,0.003,0.0,103.09,100.03999999999999,101.25999999999999,101.87
1628271238.000035,16971.0,4.0,20.0,10.0,2.0,0.0,64.0,0.0,2.0,11.0,0.0,0.0,2.0,2.94,2.05,5.0,21.0,8.0,6.0,13.0,33.0,58.0,35.0,0.0,1500.0,0.1,248.39000000000001,-1.49,2.39,35.0,22.5,0.0,0.0,8.0,0.0,1.5,2.4000000000000004,14.0,0.0,0.0,-0.7148572445019211,-0.2831763397032423,0.020000107765778426,-0.079,-0.054000000000000006,-0.006,0.0,0.0,0.0,-0.044,-0.08700000000000001,0.005,-0.2199988145828247,-0.4349976561069489,0.02499986529350281,4.9999730587005615,0.1,0.0,0.0,0.0,0.0,-0.14799848079681394,-1.2949969079494479,-0.1,0.0,-0.8599992518424989,0.0,9.0,13.044693778624154,4.428318712485214,154.9743629753873,-0.018000000000000002,0.019,-0.017,-0.009000000000000001,0.011000000000000003,0.083,0.0,0.005,0.079,0.054000000000000006,-0.006,-0.05,0.08900000000000001,0.11900000000000002,0.004,-0.022,0.014,0.043,-0.032,-0.009000000000000001,0.024000000000000004,0.05600000000000001,-0.003,-0.043000000000000003,0.047,0.006000000000000002,0.024,0.08,-0.014000000000000002,0.089,0.018000000000000002,0.0,0.004,0.066,0.013000000000000001,0.038,,,,,0.07200000000000001,0.08099999999999999,0.033,0.068,0.08099999999999999,0.048999999999999995,0.02,-0.045,-0.0019999999999999983,0.045,0.026000000000000002,-0.036000000000000004,-0.040999999999999995,0.019999999999999997,-0.019,-0.024,0.03900000000000001,0.021,-0.026000000000000002,-0.095,,,,,,,,,-0.07,-0.031,0.046,0.007,-0.026999999999999996,0.081,0.04,-0.057,-0.10700000000000001,-0.10200000000000001,0.039,,10.0,8.0,1.0,12.86,13.030000000000001,13.11,12.66,0.044,0.08700000000000001,0.005,0.0,100.64999999999999,100.03999999999999,103.09,103.09
1628271243.000007,16971.0,4.0,20.0,10.0,2.0,0.0,64.0,0.0,2.0,11.0,0.0,0.0,2.0,2.94,2.05,6.0,21.0,8.0,6.0,13.0,34.0,3.0,7.0,0.0,1500.0,0.2,248.39000000000001,-1.49,2.39,35.0,22.52,0.0,0.0,8.0,0.0,1.5,2.4000000000000004,14.0,0.0,0.0,-0.7148574149381285,-0.2831764072181227,0.02000011253420253,-0.034,-0.041999999999999996,0.013000000000000001,0.0,0.0,0.0,-0.033,-0.038000000000000006,-0.023,-0.164999071598053,-0.18999893093109133,-0.11499935293197631,4.999971866607666,0.1,0.0,0.0,0.0,0.0,-0.31299755239486693,-1.4849958388805393,0.0,0.0,-1.2949969079494479,0.0,9.0,13.248220617002312,9.043022418583712,-176.07159731688665,-0.001,0.013000000000000001,0.004,0.052000000000000005,0.028999999999999998,0.0,0.006,0.038,0.034,0.041999999999999996,0.013000000000000001,0.006,0.08700000000000001,0.08099999999999999,-0.007,-0.033,0.0009999999999999974,0.063,-0.01,-0.003,0.04499999999999999,0.04,0.003,0.027,-0.008000000000000002,0.024,-0.01,-0.014,-0.018000000000000002,0.026000000000000002,-0.003,-0.027,0.089,0.041,-0.021,-0.061,,,,,-0.136,-0.077,0.02,-0.116,0.08199999999999999,-0.021,-0.017,-0.014,0.077,-0.011,-0.037,0.039,0.015000000000000001,-0.012000000000000002,-0.056,0.011,0.015,-0.008,0.0,-0.003,,,,,,,,,0.06299999999999999,0.075,-0.018000000000000002,-0.126,-0.0020000000000000018,-0.029,-0.034,0.063,,,,,10.0,8.0,1.0,12.200000000000001,13.84,13.13,12.8,0.033,0.038000000000000006,-0.023,0.0,97.6,98.82,104.92,95.77
1628271247.000093,16971.0,4.0,20.0,10.0,2.0,0.0,64.0,0.0,2.0,11.0,0.0,0.0,2.0,2.94,2.05,7.0,21.0,8.0,6.0,13.0,34.0,7.0,93.0,0.0,1500.0,0.2,248.39000000000001,-1.49,2.39,35.0,22.5,0.0,0.0,8.0,0.0,1.5,2.4000000000000004,14.0,0.0,0.0,,,,-0.048999999999999995,-0.017,0.01,0.0,0.0,0.0,-0.05500000000000001,-0.05600000000000001,-0.013000000000000001,-0.22000473380088809,-0.22400481986999515,-0.05200111889839173,4.000086069107056,0.0,0.0,0.0,0.0,0.0,-0.5330022861957551,-1.7090006587505344,0.0,0.0,-1.4849958388805393,0.0,9.0,13.339992628215754,10.385292075203594,-178.93312675779953,0.004,0.002,0.005,-0.024,0.046,-0.0019999999999999966,-0.002,0.022,0.048999999999999995,0.017,0.01,0.016,0.059,0.033,-0.001,0.01,0.008,0.022,0.002,-0.023,0.05100000000000001,0.045,0.003,0.004,0.033999999999999996,0.08700000000000001,0.006,0.021,0.005999999999999998,0.05700000000000001,-0.015,0.027,-0.031,0.025000000000000005,0.012,0.056,,,,,-0.046999999999999986,-0.139,-0.07,0.097,0.036000000000000004,-0.012,-0.004,-0.03,-0.024,0.028000000000000004,-0.011,-0.039,-0.006000000000000002,-0.035,-0.029,-0.021,0.052000000000000005,-0.005999999999999998,-0.035,0.015,,,,,,,,,0.23099999999999998,-0.09500000000000001,0.209,,0.038,0.03,-0.01,0.054,-0.15899999999999997,0.18299999999999997,-0.193,0.41200000000000003,10.0,8.0,1.0,12.13,14.08,13.34,12.77,0.05500000000000001,0.05600000000000001,-0.013000000000000001,0.0,103.09,100.64999999999999,106.14,99.42999999999999
1628271252.000096,16971.0,4.0,20.0,10.0,2.0,0.0,64.0,0.0,2.0,11.0,0.0,0.0,2.0,2.94,2.05,8.0,21.0,8.0,6.0,13.0,34.0,12.0,96.0,0.0,1500.0,0.2,248.39000000000001,-1.49,2.39,35.0,22.52,0.0,0.0,8.0,0.0,1.5,2.4000000000000004,14.0,0.0,0.0,,,,-0.016,-0.017,-0.035,0.0,0.0,0.0,-0.026000000000000002,-0.045,-0.016,-0.13000008058547974,-0.22500013947486877,-0.08000004959106445,5.000003099441528,0.0,0.0,0.0,0.0,0.0,-0.6630023667812348,-1.9340007982254033,0.0,0.0,-1.7090006587505344,0.0,9.0,13.128235623158167,4.929939898140944,163.68056529176854,0.016,0.016,-0.021,-0.02,-0.003,0.007,-0.011,0.029,0.016,0.017,-0.035,0.014,0.039,0.055,-0.014,-0.039,0.013000000000000001,0.09000000000000001,-0.026000000000000002,0.023,0.008,0.066,-0.02,0.0,-0.008,0.07200000000000001,-0.011,0.005,-0.009000000000000001,-0.014,-0.018000000000000002,0.014,-0.056,0.019,-0.006,-0.07,,,,,-0.119,0.018000000000000002,-0.007,0.058,0.048999999999999995,-0.026999999999999996,-0.002,0.017,-0.038000000000000006,-0.037,0.006,-0.024,0.022,-0.017,-0.022,-0.017,0.07500000000000001,0.017,-0.04,-0.008,,,,,,,,,0.053,0.038,-0.027,-0.088,-0.052000000000000005,0.046,0.008,0.029,,,,,10.0,8.0,1.0,12.71,13.1,13.08,12.68,0.026000000000000002,0.045,-0.016,0.0,100.03999999999999,105.53,101.87,102.48
1628271257.000073,16971.0,4.0,20.0,10.0,2.0,0.0,64.0,0.0,2.0,11.0,0.0,0.0,2.0,2.94,2.05,9.0,21.0,8.0,6.0,13.0,34.0,17.0,73.0,0.0,1500.0,0.1,248.39000000000001,-1.49,2.39,35.0,22.52,0.0,0.0,8.0,0.0,1.5,2.4000000000000004,14.0,0.0,0.0,0.7148566991066032,0.2831761236558412,-0.020000092506836566,-0.049,-0.052000000000000005,-0.069,0.0,0.0,0.0,-0.024999999999999998,-0.095,-0.064,-0.12499942183494567,-0.4749978029727936,-0.3199985198974609,4.999976873397827,-0.1,0.0,0.0,0.0,0.0,-0.7880017886161805,-2.408998601198197,-0.1,0.0,-1.9340007982254033,0.0,9.0,13.174144153215604,8.798657264761916,167.05545990003395,-0.02,0.018000000000000002,-0.041,0.0,0.011,0.031,-0.059000000000000004,0.006,0.049,0.052000000000000005,-0.069,-0.009000000000000001,0.06699999999999999,0.097,-0.076,0.008,0.038000000000000006,0.07100000000000001,-0.094,0.022,-0.0010000000000000044,0.074,-0.048,-0.021,-3.469446951953614e-18,0.065,-0.048,0.002,-0.049,0.044,-0.051000000000000004,0.034,0.02600000000000001,0.040999999999999995,-0.051000000000000004,0.107,,,,,-0.128,0.15,-0.13,-0.058,0.005000000000000002,0.017,-0.047,0.035,-0.023,0.001999999999999999,-0.019,-0.006,0.006,0.018000000000000002,-0.058,0.044,0.013999999999999999,0.05700000000000001,-0.078,-0.01,-0.013000000000000012,0.539,-0.023,,,,,,-0.08499999999999999,-0.006999999999999999,0.093,-0.048,0.012,-0.0009999999999999992,-0.043000000000000003,0.014,-0.06899999999999999,-0.177,-0.214,0.219,10.0,8.0,1.0,12.39,13.67,13.46,12.540000000000001,0.024999999999999998,0.095,-0.064,0.0,95.77,105.53,106.75,98.82
1628271262.000046,16971.0,4.0,20.0,10.0,2.0,0.0,64.0,0.0,2.0,11.0,0.0,0.0,2.0,2.94,2.05,10.0,21.0,8.0,6.0,13.0,34.0,22.0,46.0,0.0,1500.0,0.2,248.39000000000001,-1.49,2.39,35.0,22.52,0.0,0.0,8.0,0.0,1.5,2.4000000000000004,14.0,0.0,0.0,-0.7148572445019211,-0.2831763397032423,0.020000107765778426,0.004,-0.020999999999999998,0.019,0.0,0.0,0.0,0.018000000000000002,-0.006,-0.024,0.08999951505661012,-0.029999838352203368,-0.11999935340881347,4.9999730587005615,0.1,0.0,0.0,0.0,0.0,-0.6980022735595705,-2.4389984395504003,0.0,0.0,-2.408998601198197,0.0,9.0,13.103363676260255,2.855614278692318,174.57644476363527,-0.064,-0.063,0.009000000000000001,-0.038,-0.026000000000000002,-0.016,0.012,-0.001,-0.004,0.020999999999999998,0.019,-0.004,0.0049999999999999975,0.04,0.01,-0.043000000000000003,0.022,0.026000000000000002,-0.004,-0.011,-0.036000000000000004,-0.025,0.001,0.025,-0.023,0.019,0.009000000000000001,-0.061,-0.013000000000000003,0.075,0.025,-0.006,-0.029,0.008,0.109,0.012,,,,,-0.154,0.058,0.037,0.055,-0.016999999999999998,0.053,0.002,-0.025,-0.033,-0.049,-0.002,0.03,0.092,0.012,0.017,-0.005,-0.045,-0.09,-0.018000000000000002,0.014,-0.10099999999999999,-0.08299999999999999,0.2,,,,,,-0.063,-0.063,-0.031,0.19,0.052,0.025,0.024,0.068,-0.34900000000000003,-0.054000000000000006,-0.34800000000000003,0.113,10.0,8.0,1.0,12.870000000000001,12.91,12.86,12.91,-0.018000000000000002,0.006,-0.024,0.0,99.42999999999999,106.14,102.48,102.48
1628271267.00003,16971.0,4.0,20.0,10.0,2.0,0.0,64.0,0.0,2.0,11.0,0.0,0.0,2.0,2.94,2.05,11.0,21.0,8.0,6.0,13.0,34.0,27.0,30.0,0.0,1500.0,0.2,248.39000000000001,-1.49,2.39,35.0,22.54,0.0,0.0,8.0,0.0,1.5,2.4000000000000004,14.0,0.0,0.0,,,,-0.008999999999999998,-0.074,0.054,0.0,0.0,0.0,0.013,-0.044,0.046,0.0649997923374176,-0.2199992971420288,0.2299992651939392,4.9999840259552,0.0,0.0,0.0,0.0,0.0,-0.6330024812221529,-2.658997736692429,0.0,0.0,-2.4389984395504003,0.0,9.0,13.055820110681939,4.470764550087549,-115.44756726511322,-0.034,-0.013,0.063,0.005,0.001999999999999999,-0.011,0.08600000000000001,0.006,0.008999999999999998,0.074,0.054,-0.002,-0.0020000000000000018,0.118,0.059000000000000004,-0.01,0.04599999999999999,0.095,0.049,0.03,-0.027,0.039,0.047,0.024,0.037,-0.007000000000000001,0.078,-0.10400000000000001,-0.009000000000000001,0.022999999999999996,0.078,0.002,-0.023,-0.008000000000000002,0.031,-0.016,,,,,-0.03900000000000001,-0.010000000000000002,0.092,0.03,0.061000000000000006,0.036000000000000004,0.052000000000000005,0.035,-0.013000000000000001,-0.001,0.061,0.039,0.006999999999999999,-0.030999999999999996,0.016,-0.004,-0.025,-0.036000000000000004,0.038,0.031,,,,,,,,,-0.052000000000000005,-0.07,0.047,0.042,0.026000000000000006,-0.04700000000000001,0.046,0.033,0.019000000000000003,0.002000000000000001,0.094,0.049,10.0,8.0,1.0,12.76,12.99,12.280000000000001,13.46,-0.013,0.044,0.046,0.0,99.42999999999999,102.48,107.36,96.99
1628271272.000005,16971.0,4.0,20.0,10.0,2.0,0.0,64.0,0.0,2.0,11.0,0.0,0.0,2.0,2.94,2.05,12.0,21.0,8.0,6.0,13.0,34.0,32.0,5.0,0.0,1500.0,0.2,248.39000000000001,-1.49,2.39,35.0,22.56,0.0,0.0,8.0,0.0,1.5,2.4000000000000004,14.0,0.0,0.0,,,,-0.047,-0.07100000000000001,0.012,0.0,0.0,0.0,-0.0,-0.10400000000000001,0.024,-0.0,-0.5199973964691162,0.11999939918518067,4.999974966049194,0.0,0.0,0.0,0.0,0.0,-0.6330024812221529,-3.1789951331615454,0.0,0.0,-2.658997736692429,0.0,9.0,12.94142771060402,6.431427906512682,-112.01420195175041,-0.006,0.017,0.02,-0.041,0.039,0.05600000000000001,0.007,0.013000000000000001,0.047,0.07100000000000001,0.012,0.001,0.13300000000000003,0.138,0.055,0.08700000000000001,0.18400000000000002,0.056000000000000015,0.035,0.09,-0.017,0.06899999999999999,0.013000000000000001,0.029,0.08199999999999999,0.029999999999999995,0.023,0.023,0.020000000000000004,0.082,0.059000000000000004,0.028,-0.026000000000000002,0.021000000000000005,0.022,-0.036000000000000004,,,,,0.004,0.091,0.004,-0.011,0.006,0.023,0.048,0.01,0.026000000000000002,-0.04000000000000001,0.044,-0.036000000000000004,-0.039,-0.03,0.03,-0.062,-0.062,0.049,-0.024,0.003,,,,,,,,,-0.047,-0.045,0.04,0.033,-0.10200000000000001,0.025,0.092,0.046,,,,,10.0,8.0,1.0,12.48,13.01,12.0,13.59,0.0,0.10400000000000001,0.024,0.0,102.48,106.14,108.58,95.77
1628271276.000079,16971.0,4.0,20.0,10.0,2.0,0.0,64.0,0.0,2.0,11.0,0.0,0.0,2.0,2.94,2.05,13.0,21.0,8.0,6.0,13.0,34.0,36.0,79.0,0.0,1500.0,0.2,248.39000000000001,-1.49,2.39,35.0,22.56,0.0,0.0,8.0,0.0,1.5,2.4000000000000004,14.0,0.0,0.0,,,,-0.028999999999999998,0.05,0.043000000000000003,0.0,0.0,0.0,-0.004,-0.009000000000000001,0.053,-0.016000295639038088,-0.0360006651878357,0.21200391721725464,4.0000739097595215,0.0,0.0,0.0,0.0,0.0,-0.6490027768611909,-3.214995798349381,0.0,0.0,-3.1789951331615454,0.0,17.0,13.581142262863223,21.00236556001364,-79.44297978176067,0.03900000000000001,-0.066,0.031,-0.018000000000000002,0.036000000000000004,-0.08900000000000001,0.016,0.01,0.028999999999999998,-0.05,0.043000000000000003,-0.002,0.026000000000000002,0.011,0.057,0.024,-0.035,-0.005000000000000001,0.032,-0.056,0.020000000000000004,-0.009,0.058,0.017,-0.004,0.005,0.051000000000000004,0.046,-0.013000000000000001,0.033,0.077,0.008,-0.099,0.0010000000000000078,-0.068,-0.022,-0.185,-0.054000000000000006,0.005,0.191,0.008,0.036000000000000004,0.033,0.004,0.01,0.020000000000000004,0.076,-0.047,-0.030000000000000002,-0.06,0.08600000000000001,-0.017,-0.018000000000000002,-0.04800000000000001,0.077,-0.045,-0.04000000000000001,-0.026000000000000002,0.044,-0.015,-0.026000000000000002,0.03600000000000001,0.077,-0.092,-0.02199999999999999,-0.094,0.101,0.088,0.118,0.05899999999999999,0.065,,-0.014999999999999998,-0.012,0.013000000000000001,-0.07100000000000001,0.09500000000000001,0.22900000000000004,-0.20600000000000002,,10.0,8.0,1.0,13.26,13.76,10.91,17.6,0.004,0.009000000000000001,0.053,-0.004,103.09,106.75,104.92,95.77
1628271281.000065,16971.0,4.0,20.0,10.0,2.0,0.0,64.0,0.0,2.0,11.0,0.0,0.0,2.0,2.94,2.05,14.0,21.0,8.0,6.0,13.0,34.0,41.0,65.0,0.0,1500.0,0.2,248.39000000000001,-1.49,2.39,35.0,22.56,0.0,0.0,8.0,0.0,1.5,2.4000000000000004,14.0,0.0,0.0,,,,-0.017,0.054,0.065,0.0,0.0,0.0,-0.005000000000000003,0.03200000000000001,0.069,-0.024999930858612074,0.1599995574951172,0.34499904584884644,4.999986171722412,0.0,0.0,0.0,0.0,0.0,-0.674002707719803,-3.0549962408542637,0.0,0.0,-3.214995798349381,0.0,8.0,13.672921822998328,27.405431211061295,-75.9359539330243,-0.012,-0.082,0.049,0.002,0.016,-0.061,0.055,0.044,0.017,-0.054,0.065,0.008,0.052000000000000005,0.063,0.049,0.021,-0.026000000000000002,0.006,0.109,-0.047,0.018000000000000002,-0.025,0.077,-0.018000000000000002,-8.673617379884035e-19,0.02,0.077,0.021,0.001,0.003,0.06,0.027,,,,,,,,,0.069,-0.09,0.096,0.053,0.0050000000000000044,-0.07700000000000001,0.055,0.001,-0.020999999999999998,-0.035,0.062,-0.026000000000000002,-0.0010000000000000009,0.04,0.06,0.011,0.040999999999999995,-0.019,0.045,0.007,0.041,0.041999999999999996,0.026000000000000002,-0.05,0.016,-0.162,0.059000000000000004,0.079,-0.147,-0.102,0.054,0.008,0.046,-0.062000000000000006,0.006,,,,,,10.0,8.0,1.0,13.58,14.0,10.21,19.76,0.005000000000000003,-0.03200000000000001,0.069,0.003,98.21,106.75,106.75,90.28
