time,m_filename_hash,m_mission_hash,m_present_time,m_speed,m_pitch,m_roll,m_heading,m_fin,m_depth,m_depth_rate,m_water_depth,m_pressure,m_altitude,m_battery,m_vacuum,m_ballast_pumped,m_de_oil_vol,m_battpos,m_thruster_power,m_thruster_current,c_pitch,c_roll,c_heading,c_fin,m_gps_x_lmc,m_gps_y_lmc,m_gps_fix_x_lmc,m_gps_fix_y_lmc,m_gps_status,m_gps_full_status,m_x_lmc,m_y_lmc,m_dr_time,m_dr_surf_x_lmc,m_dr_surf_y_lmc,m_ext_x_lmc,m_ext_y_lmc,m_ext_z_lmc,x_lmc_xy_source,c_wpt_x_lmc,c_wpt_y_lmc,m_lat,m_lon,m_gps_lat,m_gps_lon,c_wpt_lat,c_wpt_lon,m_water_vx,m_water_vy,m_vx_lmc,m_vy_lmc,m_coulomb_amphr,m_thruster_watthr,m_appear_to_be_at_surface,m_science_clothesline_lag,sci_m_present_time,x_software_ver
1628280345.05032,-6.217680175238119e+18,-6.4513722909956e+17,1628262345.05032,0.0,0.020944,-0.0314159,0.666716,0.00289484,0.0,0.0,-1.0,-0.0184157,0.0,14.9408,9.22866,0.0,418.921,1.22886,0.0,0.0,0.1745,0.0,3.28085,0.0,15.2957,-8.2102,0.0,0.0,0.0,0.0,15.2957,-8.2102,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,-32.8021,-94.7652,4133.25210006656,-7040.73380000617,4133.2521,-7040.7338,4133.2,-7040.75,-0.0302102,0.10391,0.0,-0.0,1.92875,1.59471,1.0,80.8599,1628262286.08752,8.2
1628280369.17892,-6.217680175238119e+18,-6.4513722909956e+17,1628262369.17892,,0.020944,-0.0314159,0.666716,0.0636865,0.0,0.0,,-0.0321587,,,,,418.785,1.22886,,,,,3.38904,0.0,16.3467,-9.08722,0.0,0.0,0.0,0.0,16.3467,-9.08722,-1.0,0.0,0.0,,,,3.0,,,4133.25180006656,-7040.73290000618,4133.2518,-7040.7329,,,,,0.0,-0.0,1.92999,,1.0,51.4148,1628262326.07996,
1628280379.61902,-6.217680175238119e+18,-6.4513722909956e+17,1628262379.61902,,0.020944,-0.0314159,0.666716,-0.00289484,0.0,0.0,,-0.0321587,,,8.33879,,418.758,0.104271,,,,,3.39842,0.0,16.6463,-9.55755,0.0,0.0,0.0,7.0,16.6463,-9.55755,-1.0,0.0,0.0,,,,3.0,,,4133.25160006656,-7040.73260000617,4133.2516,-7040.7326,,,,,0.20433,0.0243649,1.92999,,1.0,0.189423,1628262382.09875,
1628280384.01718,-6.217680175238119e+18,-6.4513722909956e+17,1628262384.01718,,0.020944,-0.0314159,0.666716,-0.00289484,0.0,0.0,,-0.0266615,,,,,,-0.00568864,,,,,3.40187,0.0,17.2133,-10.1041,0.0,0.0,0.0,0.0,17.2133,-10.1041,-1.0,0.0,0.0,,,,3.0,,,4133.25140006656,-7040.73210000617,4133.2514,-7040.7321,,,,,0.0,0.0,1.93124,,1.0,,1628262382.09875,
1628280388.44901,-6.217680175238119e+18,-6.4513722909956e+17,1628262388.44901,,0.020944,-0.0314159,0.666716,0.0,0.0,0.0,,-0.015667,,,,,419.953,-0.00568864,,,,,3.40724,0.0,18.0155,-10.3328,0.0,0.0,0.0,7.0,18.0155,-10.3328,-1.0,0.0,0.0,,,,3.0,,,4133.25140006656,-7040.73150000618,4133.2514,-7040.7315,,,,,0.346676,0.0974462,1.93251,,1.0,1.04233,1628262390.07791,
1628280392.79611,-6.217680175238119e+18,-6.4513722909956e+17,1628262392.79611,,0.020944,-0.0314159,0.666716,0.0,0.0,0.0,,-0.00742123,,,,,419.193,-0.00568864,,,,,3.41289,0.0,18.7669,-10.7395,0.0,0.0,0.0,7.0,18.7669,-10.7395,-1.0,0.0,0.0,,,,3.0,,,4133.25130006656,-7040.73090000617,4133.2513,-7040.7309,,,,,0.0,-0.0,1.93251,,1.0,1.38321,1628262394.08136,
1628280397.2243,-6.217680175238119e+18,-6.4513722909956e+17,1628262397.2243,,0.020944,-0.0314159,0.666716,0.0,0.0,0.0,,-0.0184157,,,,,316.425,-0.00568864,,,,,3.41887,0.0,19.2002,-11.248,0.0,0.0,0.0,0.0,19.2002,-11.248,-1.0,0.0,0.0,,,,3.0,,,4133.25110006656,-7040.73050000617,4133.2511,-7040.7305,,,,,0.212996,-0.144209,1.93251,,1.0,1.79568,1628262398.10129,
1628280401.65506,-6.217680175238119e+18,-6.4513722909956e+17,1628262401.65506,,0.020944,-0.0314159,0.666716,-0.00289484,0.00824581,0.00185133,,0.000824581,,,,,219.931,-0.00568864,,,,,3.42334,0.0,19.6842,-11.5784,0.0,0.0,0.0,0.0,19.6842,-11.5784,-1.0,0.0,0.0,,,,3.0,,,4133.25100006656,-7040.73010000617,4133.251,-7040.7301,,,,,0.0,-0.0,1.93375,,1.0,2.23901,1628262402.08539,
1628280406.12512,-6.217680175238119e+18,-6.4513722909956e+17,1628262406.12512,,0.020944,-0.0314159,0.666716,0.0636865,0.0,-0.00177025,,-0.0101698,,,,,120.558,-0.00568864,,,,,3.42745,0.0,20.1682,-11.9089,0.0,0.0,0.0,0.0,20.1682,-11.9089,-1.0,0.0,0.0,,,,3.0,,,4133.25090006656,-7040.72970000617,4133.2509,-7040.7297,,,,,0.0,-0.0,1.935,,1.0,2.69553,1628262406.09738,
1628280410.55219,-6.217680175238119e+18,-6.4513722909956e+17,1628262410.55219,0.0,0.020944,-0.0314159,0.666716,0.0144742,0.0,0.0,,-0.015667,,,,,19.9354,-0.00568864,,,,,3.43158,0.0,,,0.0,0.0,,7.0,20.034,-11.4472,-1.0,0.0,0.0,,,,1.0,,,4133.25112006935,-7040.72988390973,,,,,,,-0.0302102,0.10391,1.935,,1.0,3.13974,1628262410.0827,
1628280414.99081,-6.217680175238119e+18,-6.4513722909956e+17,1628262414.99081,,0.020944,-0.0314159,0.666716,0.00289484,0.0357319,0.00775431,,0.00357319,,,,,-76.8304,-0.00568864,,,,,3.42884,0.0,20.6015,-12.4173,0.0,0.0,0.0,7.0,20.6015,-12.4173,-1.0,0.0,0.0,,,,3.0,,,4133.25070006656,-7040.72930000617,4133.2507,-7040.7293,,,,,0.0,-0.0,1.935,,1.0,3.54324,1628262414.1171,
1628280419.43768,-6.217680175238119e+18,-6.4513722909956e+17,1628262419.43768,,0.020944,-0.0314159,0.666716,0.0144742,0.0357319,0.0,,0.00357319,,,,,-169.577,-0.00568864,,,,,3.43589,0.0,21.0348,-12.9258,0.0,0.0,0.0,7.0,21.0348,-12.9258,-1.0,0.0,0.0,,,,3.0,,,4133.25050006656,-7040.72890000617,4133.2505,-7040.7289,,,,,0.10351,-0.177849,1.93625,,1.0,4.00854,1628262418.09772,
1628280423.88614,-6.217680175238119e+18,-6.4513722909956e+17,1628262423.88614,,0.020944,-0.0314159,0.666716,0.0636865,0.0357319,0.0,,0.00357319,,,,,-250.753,-0.00568864,,,,,3.44042,0.0,21.4681,-13.4342,0.0,0.0,0.0,7.0,21.4681,-13.4342,-1.0,0.0,0.0,,,,3.0,,,4133.25030006656,-7040.72850000617,4133.2503,-7040.7285,,,,,0.167109,-0.12008,1.93625,,1.0,0.465088,1628262426.08945,
1628280428.24783,-6.217680175238119e+18,-6.4513722909956e+17,1628262428.24783,,0.020944,-0.0314159,0.666716,-0.0665814,0.0,-0.00825788,,-0.015667,,14.9384,,,-258.005,-0.00568864,,,,,3.44497,0.0,21.8506,-14.1207,0.0,0.0,0.0,7.0,21.8506,-14.1207,-1.0,0.0,0.0,,,,3.0,,,4133.25000006656,-7040.72810000617,4133.25,-7040.7281,,,,,-0.0,-0.0,1.9375,,1.0,0.834991,1628262430.08456,
1628280432.64157,-6.217680175238119e+18,-6.4513722909956e+17,1628262432.64157,,0.020944,-0.0314159,0.666716,0.0694762,0.0357319,0.00818787,,0.00357319,,,,,-258.005,-0.00568864,,,,,3.44995,0.0,21.9336,-14.3368,0.0,0.0,0.0,0.0,21.9336,-14.3368,-1.0,0.0,0.0,,,,3.0,,,4133.24990006656,-7040.72800000617,4133.2499,-7040.728,,,,,-0.0,-0.0,1.93876,,1.0,1.23285,1628262434.07721,
1628280436.9743,-6.217680175238119e+18,-6.4513722909956e+17,1628262436.9743,,0.020944,-0.0314159,0.666716,-0.00868453,0.0357319,0.0,,0.00357319,,,,,-258.005,-0.00402259,,,,,3.45131,0.0,22.3161,-15.0232,0.0,0.0,0.0,0.0,22.3161,-15.0232,-1.0,0.0,0.0,,,,3.0,,,4133.24960006656,-7040.72760000617,4133.2496,-7040.7276,,,,,-0.0,-0.0,1.93876,,1.0,1.55469,1628262438.08972,
1628280441.30481,-6.217680175238119e+18,-6.4513722909956e+17,1628262441.30481,,0.020944,-0.0314159,0.666716,-0.00868453,0.11819,0.0189952,,0.011819,,,,,-257.95,-0.00402259,,,,,3.45634,0.0,22.482,-15.4554,0.0,0.0,0.0,0.0,22.482,-15.4554,-1.0,0.0,0.0,,,,3.0,,,4133.24940006656,-7040.72740000617,4133.2494,-7040.7274,,,,,-0.0,-0.0,1.93876,,1.0,1.89011,1628262442.08386,
1628280445.63791,-6.217680175238119e+18,-6.4513722909956e+17,1628262445.63791,,0.020944,-0.0314159,0.666716,0.00289484,0.502995,0.0887669,,0.0502995,,,,,-257.842,-0.00402259,,,,,3.45909,0.0,22.5649,-15.6715,0.0,0.0,0.0,0.0,22.5649,-15.6715,-1.0,0.0,0.0,,,,3.0,,,4133.24930006656,-7040.72730000618,4133.2493,-7040.7273,,,,,-0.0,-0.0,1.94001,,1.0,2.37469,1628262446.09296,
1628280450.1315,-6.217680175238119e+18,-6.4513722909956e+17,1628262450.1315,,0.020944,-0.0314159,0.666716,0.0144742,1.10769,0.134078,,0.110769,,,,,-258.005,-0.00402259,,,,,3.46047,0.0,22.5971,-16.0656,0.0,0.0,0.0,0.0,22.5971,-16.0656,-1.0,0.0,0.0,,,,3.0,,,4133.24910006656,-7040.72720000617,4133.2491,-7040.7272,,,,,-0.0,-0.0,1.94001,,1.0,2.82303,1628262450.09653,
1628280454.58789,-6.217680175238119e+18,-6.4513722909956e+17,1628262454.58789,0.0,0.020944,-0.0314159,0.666716,0.0144742,1.62992,0.117093,,0.162992,,,,,-257.978,-0.00402259,,,,,3.4623,0.0,,,0.0,0.0,,7.0,22.4658,-15.6138,-1.0,0.0,0.0,,,,1.0,,,4133.24931536533,-7040.72737997729,,,,,,,-0.0302102,0.10391,1.94126,,1.0,3.16272,1628262454.09195,
1628280458.99402,-6.217680175238119e+18,-6.4513722909956e+17,1628262458.99402,,0.020944,-0.0314159,0.666716,0.0144742,1.90478,0.0599739,,0.190478,,,,,-257.869,-0.00402259,,,,,3.45944,0.0,22.6801,-16.2817,0.0,0.0,0.0,7.0,22.6801,-16.2817,-1.0,0.0,0.0,,,,3.0,,,4133.24900006656,-7040.72710000617,4133.249,-7040.7271,,,,,-0.0,-0.0,1.94126,,1.0,3.57605,1628262458.08685,
1628280463.35193,-6.217680175238119e+18,-6.4513722909956e+17,1628262463.35193,,0.020944,-0.0314159,0.666716,0.0144742,2.39953,0.114658,,0.239953,,,,,-257.95,-0.00402259,,,,,3.46348,0.0,22.8967,-16.5359,0.0,0.0,0.0,7.0,22.8967,-16.5359,-1.0,0.0,0.0,,,,3.0,,,4133.24890006656,-7040.72690000617,4133.2489,-7040.7269,,,,,-0.0,-0.0,1.94251,,1.0,3.94601,1628262462.07745,
1628280467.70636,-6.217680175238119e+18,-6.4513722909956e+17,1628262467.70636,,0.020944,-0.0314159,0.666716,0.0144742,3.27909,0.201686,,0.327909,,,,,-257.95,-0.00402259,,,,,3.46582,0.0,22.9289,-16.93,0.0,0.0,0.0,7.0,22.9289,-16.93,-1.0,0.0,0.0,,,,3.0,,,4133.24870006656,-7040.72680000617,4133.2487,-7040.7268,,,,,-0.0,-0.0,1.94251,,1.0,0.291107,1628262470.08377,
1628280472.04047,-6.217680175238119e+18,-6.4513722909956e+17,1628262472.04047,,0.020944,-0.0314159,0.666716,0.0144742,3.91126,0.148225,,0.391126,,,,,-258.032,-0.00402259,,,,,3.46768,0.0,23.0119,-17.1461,0.0,0.0,0.0,0.0,23.0119,-17.1461,-1.0,0.0,0.0,,,,3.0,,,4133.24860006656,-7040.72670000617,4133.2486,-7040.7267,,,,,-0.0,-0.0,1.94375,,1.0,0.62616,1628262474.08218,
1628280476.53949,-6.217680175238119e+18,-6.4513722909956e+17,1628262476.53949,,0.020944,-0.0314159,0.666716,0.0144742,4.46098,0.121432,,0.446099,,,,,-258.005,-0.00402259,,,,,3.46908,0.0,23.2285,-17.4003,0.0,0.0,0.0,0.0,23.2285,-17.4003,-1.0,0.0,0.0,,,,3.0,,,4133.24850006656,-7040.72650000617,4133.2485,-7040.7265,,,,,-0.0,-0.0,1.94375,,1.0,1.01059,1628262478.20163,
1628280481.03766,-6.217680175238119e+18,-6.4513722909956e+17,1628262481.03766,0.0,0.020944,-0.0314159,0.666716,0.0144742,4.98322,0.116104,,0.498322,,,,,-258.005,-0.00402259,,,,,3.47145,0.0,,,0.0,0.0,2.0,2.0,23.0924,-16.932,-1.0,0.0,0.0,,,,1.0,,,4133.24872323852,-7040.7266865585,,,,,,,-0.0302102,0.10391,1.94375,,1.0,1.47476,1628262482.23306,
1628280485.59036,-6.217680175238119e+18,-6.4513722909956e+17,1628262485.59036,0.0,0.020944,-0.0314159,0.666716,0.0144742,5.94523,0.213923,,0.594523,,,,,-257.978,-0.00402259,,,,,3.46844,0.0,,,0.0,0.0,,7.0,22.9549,-16.4591,-1.0,0.0,0.0,,,,1.0,,,4133.2489485892,-7040.72687493208,,,,,,,-0.0302102,0.10391,1.94502,,1.0,2.14429,1628262486.11285,
1628280489.92569,-6.217680175238119e+18,-6.4513722909956e+17,1628262489.92569,0.0,0.020944,-0.0314159,0.666716,0.0144742,6.65987,0.161172,,0.665987,,,,,-257.95,-0.00402259,,,,,3.46542,0.0,,,0.0,0.0,2.0,7.0,22.8238,-16.0082,-1.0,0.0,0.0,,,,1.0,,,4133.24916344234,-7040.72705453065,,,,,,,-0.0302102,0.10391,1.94627,,0.0,2.4986,1628262490.09622,
1628280494.45758,-6.217680175238119e+18,-6.4513722909956e+17,1628262494.45758,0.0,0.020944,-0.0314159,0.666716,0.0144742,7.53942,0.192885,,0.753942,,14.936,,,-257.95,-0.00402259,,,,,3.46256,0.0,,,0.0,0.0,2.0,7.0,22.6869,-15.5372,-1.0,0.0,0.0,,,,1.0,,,4133.24938790172,-7040.72724215923,,,,,,,-0.0302102,0.10391,1.94627,,0.0,3.03714,1628262494.09073,
1628280498.82114,-6.217680175238119e+18,-6.4513722909956e+17,1628262498.82114,0.282259,-0.445059,-0.0226893,4.96895,0.0144742,8.19909,0.149686,,0.819909,,,,,-257.815,-0.00402259,,,-0.1745,,3.45959,0.0,,,,,,,21.3633,-14.771,,,,,,,2.0,,,4133.24958994099,-7040.72830886753,,,,,,,-0.30323,0.175536,1.94748,,0.0,3.39978,1628262498.0892,
1628280503.05524,-6.217680175238119e+18,-6.4513722909956e+17,1628262503.05524,0.220593,-0.532325,-0.0244346,5.10509,0.0144742,8.80378,0.141515,,0.880378,,,7.02206,,-257.95,-0.153968,,,-0.1745,,3.44872,-0.377102,,,,,,,20.3682,-13.9702,,,,,,,2.0,,,4133.24985861414,-7040.72915509662,,,,,,,-0.234011,0.188328,1.94748,,0.0,3.64172,1628262502.08417,
1628280507.44104,-6.217680175238119e+18,-6.4513722909956e+17,1628262507.44104,0.12555,-0.506145,-0.00349066,5.11731,-0.380327,9.1611,0.0779831,,0.91611,,,,,-258.086,-0.488845,11.058,3.686,-0.1745,,3.43961,-0.315221,,,,,,,19.7306,-13.2986,,,,,,,2.0,,,4133.25011312204,-7040.72972862197,,,,,,,-0.145608,0.15337,1.94873,,0.0,0.0313416,1628262510.0777,
1628280511.89532,-6.217680175238119e+18,-6.4513722909956e+17,1628262511.89532,0.894122,-0.270526,-0.0174533,4.87296,-0.314973,10.4529,0.2989,,1.04529,,,,,-257.923,-0.488845,5.016,1.672,-0.1745,,3.43309,-0.384548,,,,,,,15.6667,-12.1996,,,,,,,2.0,,,4133.25008212228,-7040.73275656912,,,,,,,-0.91283,0.246864,1.94873,1.6007,0.0,0.481323,1628262514.08273,
1628280516.26898,-6.217680175238119e+18,-6.4513722909956e+17,1628262516.26898,1.04545,-0.141372,-0.0279253,4.73682,-0.387329,10.5904,0.0288355,,1.05904,,,,,-257.842,-0.428867,4.788,1.596,0.1745,,3.40479,-0.439022,,,,,,,10.9728,-11.6345,,,,,,,1.0,,,4133.24968033395,-7040.73611498889,,,,,,,-1.07535,0.129453,1.94998,1.60712,0.0,0.847076,1628262518.09012,
1628280520.69434,-6.217680175238119e+18,-6.4513722909956e+17,1628262520.69434,0.2591,-0.258309,-0.0244346,4.81362,-0.441013,11.0301,0.0876398,,1.10301,,,,,,-0.288918,,,0.1745,,3.37376,-0.392369,,,,,,,9.60833,-11.0181,,,,,,,2.0,,,4133.24979846609,-7040.73718041656,,,,,,,-0.287984,0.130094,1.95124,,0.0,,1628262518.09012,
1628280525.38574,-6.217680175238119e+18,-6.4513722909956e+17,1628262525.38574,0.348534,-0.446804,-0.0453786,4.9899,-0.39083,11.7173,0.184569,,1.17173,,,,,-258.005,-0.288918,4.674,1.558,0.1745,,3.36287,-0.341861,,,,,,,8.00637,-10.144,,,,,,,2.0,,,4133.25001534713,-7040.73846096456,,,,,,,-0.36541,0.199395,1.95124,1.61828,0.0,1.95758,1628262526.09766,
1628280529.75705,-6.217680175238119e+18,-6.4513722909956e+17,1628262529.75705,0.462183,-0.493928,0.0,4.95499,-0.340648,12.8992,0.269717,,1.28992,,,,,-257.978,-0.423869,0.0,0.0,0.1745,,3.34967,-0.45,,,,,,,5.90514,-9.20084,,,,,,,2.0,,,4133.25019411825,-7040.74010049364,,,,,,,-0.478859,0.21494,1.95249,1.61828,0.0,2.34628,1628262530.09277,
1628280534.18542,-6.217680175238119e+18,-6.4513722909956e+17,1628262534.18542,0.2503,-0.287979,-0.010472,4.68097,-0.45385,13.284,0.0917294,,1.3284,,,,,-238.179,,,,0.1745,,3.33308,-0.45,,,,,,,4.66919,-8.77746,,,,,,,2.0,,,4133.2502310041,-7040.74103895148,,,,,,,-0.280387,0.0960483,1.95499,,0.0,2.7551,1628262534.09967,
1628280538.50281,-6.217680175238119e+18,-6.4513722909956e+17,1628262538.50281,0.35533,-0.172788,-0.020944,4.54309,-0.45385,13.5039,0.0504215,,1.35039,,,,,-215.23,-0.697102,,,0.1745,,3.32364,-0.45,,,,,,,3.0199,-8.58654,,,,,,,1.0,,,4133.25008586335,-7040.74221749285,,,,,,,-0.38046,0.0440411,1.95623,,0.0,3.06097,1628262538.13986,
1628280542.68369,-6.217680175238119e+18,-6.4513722909956e+17,1628262542.68369,0.158572,-0.181514,-0.0261799,4.55182,-0.45385,13.5314,0.006652,,1.35314,,,,,-192.716,-0.68544,,,0.1745,,3.31213,-0.45,,,,,,,2.24454,-8.26037,,,,,,,1.0,,,4133.25014047499,-7040.7428181686,,,,,,,-0.186742,0.0785577,1.95875,,0.0,3.14755,1628262542.2056,
1628280546.98331,-6.217680175238119e+18,-6.4513722909956e+17,1628262546.98331,0.0,-0.172788,-0.0174533,4.54658,-0.45385,13.4764,-0.0125421,,1.34764,,,,,-170.283,-0.897029,,,0.1745,,3.30594,-0.45,,,,,,,2.11464,-7.81355,,,,,,,1.0,,,4133.25035339654,-7040.74299615381,,,,,,,-0.0302102,0.10391,1.96124,,0.0,3.57175,1628262546.08273,
1628280551.14145,-6.217680175238119e+18,-6.4513722909956e+17,1628262551.14145,0.0,-0.16057,-0.0174533,4.5396,-0.45385,13.5039,0.00670718,,1.35039,,,,,-148.149,-0.882034,,,0.1745,,3.30369,-0.45,,,,,,,1.98905,-7.3816,,,,,,,1.0,,,4133.25055923721,-7040.74316821999,,,,,,,-0.0302102,0.10391,1.96625,,0.0,3.73325,1628262550.07941,
1628280555.4469,-6.217680175238119e+18,-6.4513722909956e+17,1628262555.4469,0.0,-0.122173,-0.00872665,4.51168,-0.45385,13.6688,0.0379031,,1.36688,,,,,-124.494,-1.09862,,,0.1745,,3.30153,-0.45,,,,,,,1.85906,-6.93447,,,,,,,1.0,,,4133.2507723073,-7040.74334632941,,,,,,,-0.0302102,0.10391,1.9675,,0.0,0.0162659,1628262558.09937,
1628280559.75116,-6.217680175238119e+18,-6.4513722909956e+17,1628262559.75116,0.0,-0.020944,-0.0244346,4.43663,-0.45385,13.7788,0.0258085,,1.37788,,14.9143,,,-100.132,-1.08529,,,0.1745,,3.29932,-0.45,,,,,,,1.729,-6.48714,,,,,,,1.0,,,4133.25098547642,-7040.74352452163,,,,,,,-0.0302102,0.10391,1.97001,,0.0,0.325165,1628262562.0957,
1628280564.048,-6.217680175238119e+18,-6.4513722909956e+17,1628262564.048,0.0,0.0122173,-0.0244346,4.40521,-0.45385,13.7788,0.0,,1.37788,,,,,-76.1243,-1.19858,,,0.1745,,3.29712,-0.45,,,,,,,1.59874,-6.03907,,,,,,,1.0,,,4133.25119899215,-7040.74370300362,,,,,,,-0.0302102,0.10391,1.97251,,0.0,0.651001,1628262566.08243,
1628280568.21033,-6.217680175238119e+18,-6.4513722909956e+17,1628262568.21033,0.0,0.015708,-0.020944,4.40347,-0.45385,13.7788,0.0,,1.37788,,,,,-53.9901,-1.19192,,,0.1745,,3.29494,-0.45,,,,,,,1.4734,-5.60795,,,,,,,1.0,,,4133.25140443667,-7040.74387473874,,,,,,,-0.0302102,0.10391,1.975,,0.0,0.80191,1628262570.08051,
1628280572.50589,-6.217680175238119e+18,-6.4513722909956e+17,1628262572.50589,0.0,0.0191986,-0.0296706,4.39299,-0.45385,13.7788,0.0,,1.37788,,,,,-30.6066,-1.19192,,,0.1745,,3.29285,-0.45,,,,,,,1.34364,-5.16165,,,,,,,1.0,,,4133.25161711061,-7040.7440525171,,,,,,,-0.0302102,0.10391,1.97873,,0.0,1.09641,1628262574.0795,
1628280576.65076,-6.217680175238119e+18,-6.4513722909956e+17,1628262576.65076,0.0,0.0226893,-0.0226893,4.38078,-0.452683,13.7788,0.0,,1.37788,,,,,-8.11938,-1.19192,,,0.1745,,3.29071,-0.45,,,,,,,1.21848,-4.73115,,,,,,,1.0,,,4133.25182225801,-7040.74422400391,,,,,,,-0.0302102,0.10391,1.98124,,0.0,1.23132,1628262578.0892,
1628280580.94254,-6.217680175238119e+18,-6.4513722909956e+17,1628262580.94254,0.0,0.0261799,-0.0226893,4.36856,-0.452683,13.7788,0.0,,1.37788,,,,,15.6986,-1.19192,,,0.1745,,3.28866,-0.45,,,,,,,1.08891,-4.28548,,,,,,,1.0,,,4133.25203463484,-7040.74440153396,,,,,,,-0.0302102,0.10391,1.98374,,0.0,1.53171,1628262582.07843,
1628280585.08395,-6.217680175238119e+18,-6.4513722909956e+17,1628262585.08395,0.0,0.0471239,-0.015708,4.34587,-0.45385,13.7788,0.0,,1.37788,,,,,38.8105,-1.19192,,,0.1745,,3.28656,-0.45,,,,,,,0.96378,-3.85509,,,,,,,1.0,,,4133.25223973272,-7040.74457297941,,,,,,,-0.0302102,0.10391,1.98499,,0.0,1.65421,1628262586.09836,
1628280589.37491,-6.217680175238119e+18,-6.4513722909956e+17,1628262589.37491,0.0,0.0994838,-0.0174533,4.30573,-0.45385,13.7788,0.0,,1.37788,,,,,62.9273,-1.19192,,,0.1745,,3.28454,-0.45,,,,,,,0.833997,-3.40869,,,,,,,1.0,,,4133.25245245616,-7040.74475079924,,,,,,,-0.0302102,0.10391,1.9875,,0.0,1.92065,1628262590.12552,
1628280593.67017,-6.217680175238119e+18,-6.4513722909956e+17,1628262593.67017,0.0,0.172788,-0.020944,4.26558,-0.45385,13.7513,-0.00640551,,1.37513,,,,,86.6095,-1.19192,,,0.1745,,3.28246,-0.45,,,,,,,0.704395,-2.96291,,,,,,,1.0,,,4133.25266488249,-7040.74492837074,,,,,,,-0.0302102,0.10391,1.99249,,0.0,2.25446,1628262594.08362,
1628280597.96182,-6.217680175238119e+18,-6.4513722909956e+17,1628262597.96182,-0.025069,0.247837,-0.020944,4.23068,-0.45385,13.7788,0.00634342,,1.37788,,,,,111.297,-1.19192,,,0.1745,,3.28041,-0.45,,,,,,,0.669877,-2.46407,,,,,,,2.0,,,4133.25291896578,-7040.74505063397,,,,,,,-0.00799402,0.115525,1.995,,0.0,2.55972,1628262598.09265,
1628280602.13879,-6.217680175238119e+18,-6.4513722909956e+17,1628262602.13879,0.0149698,0.312414,-0.0191986,4.22544,-0.45385,13.7513,-0.00663273,,1.37513,,,,,134.436,-1.19192,,,0.1745,,3.27884,-0.45,,,,,,,0.488949,-2.06046,,,,,,,2.0,,,4133.25310187973,-7040.74525539366,,,,,,,-0.04344,0.0969056,1.99625,,0.0,2.71741,1628262602.09293,
1628280606.45483,-6.217680175238119e+18,-6.4513722909956e+17,1628262606.45483,0.100218,0.335103,-0.015708,4.25162,-0.45385,13.5589,-0.0440683,,1.35589,,,,,158.064,-1.06863,,,0.1745,,3.2766,-0.45,,,,,,,-0.0286314,-1.80443,,,,,,,2.0,,,4133.2531582371,-7040.74566392379,,,,,,,-0.119977,0.0593498,1.99875,,0.0,3.04404,1628262606.07986,
1628280610.62308,-6.217680175238119e+18,-6.4513722909956e+17,1628262610.62308,0.203957,0.305433,-0.0191986,4.29875,-0.45385,13.229,-0.0790776,,1.3229,,,,,180.958,-0.972001,,,0.1745,,3.27259,-0.45,,,,,,,-0.932946,-1.71302,,,,,,,2.0,,,4133.25307175735,-7040.74630750462,,,,,,,-0.216966,0.0219303,2.00376,,0.0,3.20139,1628262610.09134,
1628280614.93683,-6.217680175238119e+18,-6.4513722909956e+17,1628262614.93683,0.103812,0.261799,-0.0226893,4.32667,-0.45385,13.0641,-0.0384689,,1.30641,,,,,204.966,-0.990328,,,0.1745,,3.26652,-0.45,,,,,,,-1.47796,-1.43337,,,,,,,2.0,,,4133.25313632034,-7040.74673967013,,,,,,,-0.126395,0.0648538,2.00498,,0.0,3.46378,1628262614.14197,
1628280619.2554,-6.217680175238119e+18,-6.4513722909956e+17,1628262619.2554,0.247602,0.277507,-0.0226893,4.30922,-0.45385,12.6793,-0.0883593,,1.26793,,,,,228.35,-0.842604,,,0.1745,,3.26229,-0.45,,,,,,,-2.59209,-1.40415,,,,,,,2.0,,,4133.25298644797,-7040.74751612454,,,,,,,-0.25796,0.00676692,2.00748,,0.0,3.84744,1628262618.07828,
1628280623.56998,-6.217680175238119e+18,-6.4513722909956e+17,1628262623.56998,0.0296434,0.303687,-0.0261799,4.29526,-0.45385,12.6243,-0.012826,,1.26243,,14.8957,,,250.212,-0.86704,,,0.1745,,3.25499,-0.45,,,,,,,-2.83928,-1.00778,,,,,,,2.0,,,4133.25315578145,-7040.74776528916,,,,,,,-0.0573118,0.0919007,2.00998,,0.0,0.145721,1628262626.09305,
1628280627.8085,-6.217680175238119e+18,-6.4513722909956e+17,1628262627.8085,0.31939,0.275762,-0.0279253,4.2778,-0.45385,12.1571,-0.111919,,1.21571,,,7.3384,,,-0.683774,,,0.1745,,3.25243,-0.45,,,,,,,-4.23793,-1.1414,,,,,,,2.0,,,4133.2528791382,-7040.74870643913,,,,,,,-0.319911,-0.0305641,2.01249,,0.0,0.42804,1628262630.18481,
1628280632.1803,-6.217680175238119e+18,-6.4513722909956e+17,1628262632.1803,0.384206,0.223402,-0.0279253,4.28653,-0.45385,11.6623,-0.115272,,1.16623,,,,,,-0.683774,,,0.1745,,3.24361,-0.45,,,,,,,-5.84841,-1.37362,,,,,,,2.0,,,4133.25251988302,-7040.74977468009,,,,,,,-0.380101,-0.0548069,2.01377,,0.0,0.767822,1628262634.08221,
